vehicle_brand,year,cubic_capacity,km_driven,selling_price
Maruti,2018,1197.0,70000,509999
Ford,2017,1498.0,60000,800000
Maruti,2018,1248.0,58511,950000
Hyundai,2004,,90000,90000
Hyundai,2012,1197.0,27000,290000
Hyundai,2013,1498.0,64000,650000
Tata,2018,1497.0,35000,700000
Hyundai,2016,1582.0,77150,1050000
Maruti,2011,,77000,290000
Hyundai,2014,814.0,60000,200000
Renault,2015,799.0,15200,290000
Maruti,2012,1248.0,96000,425000
Hyundai,2012,1197.0,93000,275000
Maruti,2019,1462.0,15000,1025000
Skoda,2017,1498.0,31000,860000
Skoda,2015,1498.0,35000,700000
Maruti,2005,796.0,70000,95000
Renault,2014,1461.0,116000,600000
Mahindra,2006,,120000,200000
Toyota,2015,2982.0,91000,1650000
Volkswagen,2012,1598.0,120000,280000
Mahindra,2011,2523.0,100000,340000
Toyota,2013,2494.0,100000,800000
Tata,2011,1405.0,200000,200000
Maruti,2019,1248.0,25000,757000
Maruti,2007,796.0,80000,150000
Hyundai,2013,1582.0,120000,700000
Tata,2014,2179.0,291977,500000
Maruti,2013,1248.0,102996,415000
Honda,2016,1498.0,35000,550000
Hyundai,2014,1197.0,64000,350000
Hyundai,2006,1493.0,90000,120000
Maruti,2017,1248.0,50000,695000
Maruti,2019,1197.0,7500,600000
Hyundai,2015,1582.0,73500,1000000
Hyundai,2011,1086.0,60000,160000
Honda,2015,1498.0,140000,700000
Maruti,2014,1248.0,70000,459999
Honda,2017,1498.0,69000,925000
Tata,2009,624.0,15000,70000
Hyundai,2017,814.0,15151,300000
Maruti,2001,796.0,35000,75000
Maruti,2015,998.0,50000,300000
Toyota,2013,1364.0,120000,325000
Mahindra,2011,2523.0,120000,280000
Honda,2013,1198.0,80000,300000
Toyota,2010,2494.0,250000,750000
Maruti,2015,1248.0,140000,330000
Maruti,2016,1248.0,210000,210000
Honda,2008,1497.0,110000,185000
Maruti,2010,1248.0,180000,315000
Mahindra,2016,2179.0,100000,1000000
Mahindra,2017,1493.0,70000,735000
Maruti,2020,796.0,16000,370000
